run,experiment
SRR5297630,PCHiC_D0_Exp1
SRR5297631,PCHiC_D0_Exp1
SRR5297632,PCHiC_D0_Exp1
SRR5297633,PCHiC_D0_Exp2
SRR5297634,PCHiC_D0_Exp2
SRR5297635,PCHiC_D0_Exp2
SRR5297636,PCHiC_D0_Exp2
SRR5297637,PCHiC_4h_Exp1
SRR5297638,PCHiC_4h_Exp1
SRR5297639,PCHiC_4h_Exp1
SRR5297640,PCHiC_4h_Exp1
SRR5297641,PCHiC_4h_Exp2
SRR5297642,PCHiC_4h_Exp2
SRR5297643,PCHiC_4h_Exp2
SRR5297644,PCHiC_4h_Exp2
SRR5297645,PCHiC_4h_Exp2
SRR5297646,PCHiC_4h_Exp2
SRR5297647,PCHiC_4h_Exp2
SRR5297648,PCHiC_D2_Exp1
SRR5297649,PCHiC_D2_Exp1
SRR5297650,PCHiC_D2_Exp1
SRR5297651,PCHiC_D2_Exp2
SRR5297652,PCHiC_D2_Exp2
SRR5297653,PCHiC_D2_Exp2
